,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12683,10,,B1,120-12 198TH STREET,,11412,2,0,2,"5,000","1,518",1940,1,B1,0,03/25/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12686,18,,B2,120-28 199TH STREET,,11412,2,0,2,"3,760","1,099",1950,1,B2,"660,000",03/16/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12686,24,,B2,120-46 199 STREET,,11412,2,0,2,"4,700","1,518",1950,1,B2,"1,330,000",01/16/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12686,45,,B2,120-43 198TH STREET,,11412,2,0,2,"4,000","1,099",1950,1,B2,10,06/02/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12686,56,,B1,120-17 198 STREET,,11412,2,0,2,"2,850","1,804",2007,1,B1,0,11/18/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12687,15,,B2,12022 200TH STREET,,11412,2,0,2,"4,700","2,324",1988,1,B2,0,10/30/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12690,6,,B2,200-16 120TH AVENUE,,11412,2,0,2,"4,000","1,099",1955,1,B2,0,03/12/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12691,1,,B1,201-08 120TH AVE,,11412,2,0,2,"3,400","1,518",1955,1,B1,10,12/19/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12691,13,,B2,120-20 201 PLACE,,11412,2,0,2,"4,000","1,099",1955,1,B2,"870,000",07/10/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12691,14,,B2,120-24 201 PLACE,,11412,2,0,2,"4,000",949,1955,1,B2,0,06/06/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12694,41,,B2,120-04 SPRINGFIELD BLVD,,11411,2,0,2,"5,775","2,200",1963,1,B2,0,02/13/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12700,18,,S2,122-14 MONTAUK STREET,,11413,2,1,3,"1,600","2,200",1930,1,S2,"678,400",10/14/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12706,26,,B3,19018 122ND AVENUE,,11413,2,0,2,"3,410","1,532",1930,1,B3,0,12/26/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12719,10,,B2,18701 RIDGEDALE STREET,,11413,2,0,2,"2,856","1,620",1960,1,B2,"653,864",05/14/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12730,21,,B3,19410 NASHVILLE BLVD,,11413,2,0,2,"4,000","1,197",1930,1,B3,"960,000",05/19/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12984,34,,B3,131-21 FARMERS BOULEVARD,,11434,2,0,2,"5,070","2,712",1930,1,B3,"1,299,999",10/08/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12986,1,,B2,132-41 FARMERS BOULEVARD,,11434,2,0,2,"2,928","1,300",1970,1,B2,"760,000",04/23/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12991,31,,B3,177-37 137 AVENUE,,11434,2,0,2,"2,800","1,563",1944,1,B3,"690,000",08/15/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,12993,22,,B3,135-05 CHENEY STREET,,11434,2,0,2,"4,000","2,774",1945,1,B3,0,10/15/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13021,36,,B2,137-14 BEDELL STREET,,11413,2,0,2,"4,400","1,460",1960,1,B2,"1,255,000",12/17/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13021,63,,B2,137-66 BEDELL STREET,,11413,2,0,2,"2,835","4,200",1989,1,B2,"999,999",12/19/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13022,23,,B2,137-45 BEDELL STREET,,11413,2,0,2,"3,424","2,044",2005,1,B2,0,05/12/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13022,23,,B2,137-45 BEDELL STREET,,11413,2,0,2,"3,424","2,044",2005,1,B2,"100,000",03/20/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13022,118,,B1,184-11 140 AVENUE,,11413,2,0,2,"1,577","1,824",1920,1,B1,"387,500",12/23/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13023,10,,B3,177-22 137 AVENUE,,11434,2,0,2,"5,168","1,733",1925,1,B3,10,04/01/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13024,45,,B3,178-08 137 AVENUE,,11434,2,0,2,"3,832","2,124",1935,1,B3,"970,000",04/24/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13029,28,,B1,186-46 139TH AVE,,11413,2,0,2,"3,540","1,858",1960,1,B1,"810,781",08/15/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13040,16,,B3,140-24 183 STREET,,11413,2,0,2,"1,908","1,600",1950,1,B3,"470,000",02/13/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13040,16,,B3,140-24 183RD ST,,11413,2,0,2,"1,908","1,600",1950,1,B3,"880,000",07/22/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13041,7,,B1,183-14 140 AVE,,11413,2,0,2,"3,058","1,800",1950,1,B1,"380,000",11/12/2025
